payment_date,invoice_number,leg,amount,notes
2026-01-29,37077,funded,155.00,1/29/26 ACH
2026-01-29,37078,funded,155.00,1/29/26 ACH
2026-01-29,37079,funded,155.00,1/29/26 ACH
2026-01-29,37080,funded,155.00,1/29/26 ACH
2026-02-25,38009,funded,260.00,2/25/26 ACH
2026-02-25,38250,funded,235.00,2/25/26 ACH
2026-02-25,38013,funded,-141.25,2/25/26 ACH (loss — offsets batch)
2026-02-25,38011,funded,47.50,2/25/26 ACH
2026-02-25,38012,funded,47.50,2/25/26 ACH
2026-02-25,38251,funded,47.50,2/25/26 ACH
2026-02-25,37077,reserve,29.25,2/25/26 ACH
2026-02-25,37078,reserve,29.25,2/25/26 ACH
2026-02-25,37079,reserve,29.25,2/25/26 ACH
2026-02-25,37080,reserve,29.25,2/25/26 ACH
2026-03-20,38247,funded,253.13,3/20/26 ACH
2026-03-20,38248,funded,223.44,3/20/26 ACH
2026-03-20,38249,funded,223.44,3/20/26 ACH
2026-03-20,38496,funded,223.75,3/20/26 ACH
2026-03-20,38498,funded,223.75,3/20/26 ACH
2026-04-13,38497,funded,223.75,4/13/26
2026-04-13,38499,funded,223.75,4/13/26
2026-04-13,38846,funded,427.50,4/13/26
2026-04-13,38847,funded,315.00,4/13/26
2026-04-13,39400,funded,152.50,4/13/26
2026-04-13,39399,funded,215.00,4/13/26
2026-04-13,39398,funded,215.00,4/13/26
2026-04-13,39417,funded,145.00,4/13/26
