invoice_number,status,invoice_date,submission_date,po_load,customer,customer_raw,age,invoice_amount,funded,reserves,reserves_excel,released_reserves,fees,carrier,carrier_invoice,carrier_pay,source_sheet,released,release_date,release_amount,release_source
37114,Funded,2025-12-31,2025-12-31,GROUND / MT2025122300034,Gofo Inc,GOFO INC.,3.0,7500.0,425.0,375.0,243.75,,131.25,SCR TRUCKING LLC,37114.0,6700.0,2025 Invoice List,false,,,
35908,Funded,2025-12-31,2025-12-31,REF#422651-PO#INV128108,Rentex,"RENTEX, INC/ HQ",3.0,1600.0,20.0,80.0,52.0,52.0,28.0,ZULA LLC,35908.0,1500.0,2025 Invoice List,true,,80.0,triumph
37119,Funded,2025-12-31,2025-12-31,MT2025122600009,Gofo Inc,GOFO INC.,3.0,7500.0,425.0,375.0,243.75,,131.25,SCR TRUCKING LLC,37119.0,6700.0,2025 Invoice List,false,,,
36515,Funded,2025-12-30,2025-12-30,EV25-0457-TPO00085,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,4.0,1500.0,625.0,75.0,48.75,48.75,26.25,FANTASESAY & SON LLC,36515.0,800.0,2025 Invoice List,true,,75.0,triumph
37094,Funded,2025-12-30,2025-12-30,GROUND / MT2025122300009,Gofo Inc,GOFO INC.,4.0,7500.0,125.0,375.0,243.75,,131.25,SCR TRUCKING LLC,37094.0,7000.0,2025 Invoice List,false,,,
36734,Funded,2025-12-29,2025-12-29,EV25-0455-TPO-00088,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,2.0,1525.0,268.75,76.25,49.5625,49.5625,26.6875,JJ TEAM TRANSPORT LLC,36734,1180.0,2025 Invoice List,true,,76.25,triumph
36971,Paid,2025-12-26,2025-12-26,P/U # CLTCNO71112012001 / MT202512130057,Gofo Inc,GOFO INC.,28.0,6500.0,-25.0,325.0,211.25,211.25,113.75,DA CARGO LLC,36971.0,6200.0,2025 Invoice List,true,,325.0,triumph
37030,Paid,2025-12-26,2025-12-26,P/U # EWRCNO5301218094 / MT2025121800119,Gofo Inc,GOFO INC.,28.0,7800.0,410.0,390.0,253.5,253.5,136.5,JAYKHUN CARGO LLC,37030.0,7000.0,2025 Invoice List,true,,390.0,triumph
36871,Funded,2025-12-26,2025-12-26,PU# EWRCN05301206030 / MT2025120700180,Gofo Inc,GOFO INC.,1.0,8500.0,75.0,425.0,276.25,276.25,148.75,DAY USA TRUCKING INC,36871,8000.0,2025 Invoice List,true,,425.0,triumph
37088,Funded,2025-12-26,2025-12-26,MT2025122000009,Gofo Inc,GOFO INC.,1.0,7500.0,125.0,375.0,243.75,,131.25,STAR TRUCKING US LLC,37088,7000.0,2025 Invoice List,false,,,
37073,Funded,2025-12-26,2025-12-26,GROUND / MT2025121900009,Gofo Inc,GOFO INC.,1.0,7500.0,25.0,375.0,243.75,,131.25,MISTER GINGER LLC,37073,7100.0,2025 Invoice List,false,,,
37064,Funded,2025-12-23,2025-12-23,GOFO GROUND / MT2025121800009,Gofo Inc,GOFO INC.,4.0,7500.0,-375.0,375.0,243.75,243.75,131.25,VIS INC,37064,7500.0,2025 Invoice List,true,,375.0,triumph
37055,Funded,2025-12-23,2025-12-23,PU:ATLCNO5301218002 / MT2025121900112,Gofo Inc,GOFO INC.,4.0,6500.0,175.0,325.0,211.25,211.25,113.75,SAM & GERRY TRUCKING INC,37005,6000.0,2025 Invoice List,true,,325.0,triumph
37002,Funded,2025-12-23,2025-12-23,ATLCNO5301216004 / MT2025121700555,Gofo Inc,GOFO INC.,4.0,7125.0,218.75,356.25,231.5625,231.5625,124.6875,NGOC AI LOGISTICS,37002,6550.0,2025 Invoice List,true,2026-04-07,356.25,flexent
36993,Funded,2025-12-23,2025-12-23,PU#:CLTCNO5301215001 / MT2025121600566,Gofo Inc,GOFO INC.,4.0,6500.0,175.0,325.0,211.25,211.25,113.75,SAM & GERRY TRUCKING INC,36993,6000.0,2025 Invoice List,true,,325.0,triumph
36972,Funded,2025-12-23,2025-12-23,P/U # EWRCNO7111212040 / MT2025121300182,Gofo Inc,GOFO INC.,4.0,8450.0,252.5,422.5,274.625,274.625,147.875,BLACKSTONE EXCLUSIVE INC,36972,7775.0,2025 Invoice List,true,2026-04-07,422.5,flexent
36958,Funded,2025-12-23,2025-12-23,ATLCNO53012011003 - TONU,Gofo Inc,GOFO INC.,4.0,500.0,125.0,25.0,16.25,16.25,8.75,DELTA PRIME LLC,36958,350.0,2025 Invoice List,true,,25.0,triumph
36852,Funded,2025-12-23,2025-12-23,P/U # ATLCNO5301205078 / MT2025120600113,Gofo Inc,GOFO INC.,4.0,6800.0,160.0,340.0,221.0,221.0,119.0,PEREGRINE INC,36852,6300.0,2025 Invoice List,true,,340.0,triumph
36957,Funded,2025-12-23,2025-12-23,ATLCNO53012011004 / MT2025121200109,Gofo Inc,GOFO INC.,4.0,6400.0,-420.0,320.0,208.0,208.0,112.0,DELTA PRIME LLC,36957,6500.0,2025 Invoice List,true,,320.0,triumph
36966,Funded,2025-12-23,2025-12-23,ATLCNO71112012003 / MT2025121300116,Gofo Inc,GOFO INC.,4.0,6400.0,-170.0,320.0,208.0,208.0,112.0,NGOC AI LOGISTICS,36966,6250.0,2025 Invoice List,true,,320.0,triumph
36967,Funded,2025-12-23,2025-12-23,ATLCNO71112012004 / MT2025121300115,Gofo Inc,GOFO INC.,4.0,6400.0,-275.0,320.0,208.0,208.0,112.0,NGOC AI LOGISTICS,36967,6355.0,2025 Invoice List,true,,320.0,triumph
36937,Funded,2025-12-23,2025-12-23,EWRCNO53012010041 / MT2025121100181,Gofo Inc,GOFO INC.,4.0,8000.0,2100.0,400.0,260.0,260.0,140.0,GG&E TRUCKING LLC,36937,5500.0,2025 Invoice List,true,,400.0,triumph
36889,Funded,2025-12-23,2025-12-23,P/U # EWRCNO5301207099 / MT2025120800028,Gofo Inc,GOFO INC.,4.0,8300.0,385.0,415.0,269.75,269.75,145.25,SCR TRUCKING LLC,36889,7500.0,2025 Invoice List,true,,415.0,triumph
36956,Funded,2025-12-23,2025-12-23,ATLCNO53012011002,Gofo Inc,GOFO INC.,4.0,6400.0,-320.0,320.0,208.0,208.0,112.0,CARGOPRIME CORPORATION,36956,6400.0,2025 Invoice List,true,,320.0,triumph
36973,Funded,2025-12-23,2025-12-23,P/U # ATLCNO5301213003 / MT2025121400116,Gofo Inc,GOFO INC.,4.0,6400.0,80.0,320.0,208.0,208.0,112.0,BORDERLANDERS INC,36973,6000.0,2025 Invoice List,true,,320.0,triumph
36974,Funded,2025-12-23,2025-12-23,P/U # CLTCNO5301213001 / MT2025121400570,Gofo Inc,GOFO INC.,4.0,6500.0,-175.0,325.0,211.25,211.25,113.75,BORDERLANDERS INC,36974,6350.0,2025 Invoice List,true,,325.0,triumph
36930,Funded,2025-12-23,2025-12-23,ATLCNO5301201002 / MT2025121100110,Gofo Inc,GOFO INC.,4.0,6400.0,-720.0,320.0,208.0,208.0,112.0,SAM & GERRY TRUCKING INC,36930,6800.0,2025 Invoice List,true,,320.0,triumph
36931,Funded,2025-12-23,2025-12-23,ATLCNO5301201003 / MT2025121100109,Gofo Inc,GOFO INC.,4.0,6400.0,-920.0,320.0,208.0,208.0,112.0,PROGRESSIVE CARRIERS CO,36931,7000.0,2025 Invoice List,true,,320.0,triumph
37061,Funded,2025-12-22,2025-12-22,LOAD #39988,"Global Foods, Inc.","GLOBAL FOODS, INC.",5.0,740.0,-47.0,37.0,24.05,24.05,12.95,CMX CARRIER LLC,37061,750.0,2025 Invoice List,true,,37.0,triumph
37054,Funded,2025-12-22,2025-12-22,LOAD #39992,"Global Foods, Inc.","GLOBAL FOODS, INC.",5.0,740.0,-47.0,37.0,24.05,24.05,12.95,GM EXPEDITE LLC,37054,750.0,2025 Invoice List,true,,37.0,triumph
36354,Funded,2025-12-18,2025-12-18,REF# T467403 T467451-PO#INV129676,Rentex,"RENTEX, INC/ HQ",9.0,3300.0,335.0,165.0,107.25,107.25,57.75,BERO  TRANSPORT CORP,36354,2800.0,2025 Invoice List,true,,165.0,triumph
36904,Funded,2025-12-18,2025-12-18,LOAD NO: #39753,"Global Foods, Inc.","GLOBAL FOODS, INC.",9.0,2080.0,-524.0,104.0,67.6,67.60000000000001,36.4,GREGORY H GREENE TRUCKING LLC,36904,2500.0,2025 Invoice List,true,,104.0,triumph
36756,Funded,2025-12-17,2025-12-17,REF#471347PO#INV131040,Rentex,"RENTEX, INC/ HQ",10.0,550.0,172.5,27.5,17.875,17.875,9.625,QUAD TRUCKING & SERVICES LLC,36756,350.0,2025 Invoice List,true,,27.5,triumph
36303,Funded,2025-12-17,2025-12-17,PO#INV129521 - REF#467375,Rentex,"RENTEX, INC/ HQ",10.0,675.0,-188.75,33.75,21.9375,21.9375,11.8125,LEOVANNI'S TRANSPORT LLC,36303,830.0,2025 Invoice List,true,,33.75,triumph
36893,Funded,2025-12-17,2025-12-17,REF#472887 PO#INV131433,Rentex,"RENTEX, INC/ HQ",10.0,600.0,150.0,30.0,19.5,19.5,10.5,DW CARRIER & LOGISTICS LLC,36893,420.0,2025 Invoice List,true,,30.0,triumph
36969,Funded,2025-12-17,2025-12-17,TPO-00094,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,10.0,850.0,357.5,42.5,27.625,27.625,14.875,ZUBR FREIGHT LLC,36969,225.0,2025 Invoice List,true,,42.5,triumph
36920,Funded,2025-12-17,2025-12-17,REF#473634PO#INV131544,Rentex,"RENTEX, INC/ HQ",10.0,550.0,337.5,27.5,17.875,17.875,9.625,PLOGIN LOGISTICS LLC,36920,185.0,2025 Invoice List,true,,27.5,triumph
36985,Funded,2025-12-17,2025-12-17,TPO-00094,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,10.0,1100.0,145.0,55.0,35.75,17.875,19.25,AXPER LLC,36985,900.0,2025 Invoice List,true,,55.0,triumph
36885,Funded,2025-12-15,2025-12-15,EWRCNO5301208025,Gofo Inc,GOFO INC.,12.0,7800.0,-90.0,390.0,253.5,253.5,136.5,MG EXPRESS TRUCKING LLC,36885,7500.0,2025 Invoice List,true,,390.0,triumph
36888,Funded,2025-12-15,2025-12-15,P/U # ATLCNO5301208072,Gofo Inc,GOFO INC.,12.0,6400.0,180.0,320.0,208.0,208.0,112.0,JS CARGO TRUCKLINE INC,36888,5900.0,2025 Invoice List,true,,320.0,triumph
36557,Funded,2025-12-15,2025-12-15,PO#INV130368REF#466963,Rentex,"RENTEX, INC/ HQ",12.0,550.0,172.5,27.5,17.875,17.875,9.625,DHANA LOGISTICS INC,36557,350.0,2025 Invoice List,true,,27.5,triumph
35795,Funded,2025-12-12,2025-12-12,PU#: MIACNO5301027008,Gofo Inc,GOFO INC.,15.0,6800.0,360.0,340.0,221.0,221.0,119.0,Show Freight Inc,35795,6100.0,2025 Invoice List,true,,340.0,triumph
36905,Funded,2025-12-12,2025-12-12,P/U # ATLCNO5301209004,Gofo Inc,GOFO INC.,15.0,6400.0,180.0,320.0,208.0,208.0,112.0,MANJOT SINGH,36905,5900.0,2025 Invoice List,true,,320.0,triumph
36878,Funded,2025-12-12,2025-12-12,P/U #EWRCNO5301207019,Gofo Inc,GOFO INC.,15.0,8200.0,-10.0,410.0,266.5,266.5,143.5,KING MONEY TRUCKING LLC,36878,7800.0,2025 Invoice List,true,,410.0,triumph
36842,Funded,2025-12-12,2025-12-12,#EWRCNO5301204061,Gofo Inc,GOFO INC.,15.0,8500.0,575.0,425.0,276.25,276.25,148.75,3D LOGISTICS LLC,36842,7500.0,2025 Invoice List,true,,425.0,triumph
36752,Funded,2025-12-11,2025-12-11,PO#INV131021/REF#472142,Rentex,"RENTEX, INC/ HQ",16.0,600.0,170.0,30.0,19.5,19.5,10.5,RIX LOGISTICS LLC,36752,400.0,2025 Invoice List,true,,30.0,triumph
36876,Funded,2025-12-11,2025-12-11,PU# IAHCNO5301207030,Gofo Inc,GOFO INC.,16.0,6000.0,200.0,300.0,195.0,195.0,105.0,STRAIGHT CARGO LLC,36876,5500.0,2025 Invoice List,true,,300.0,triumph
36875,Funded,2025-12-11,2025-12-11,PU# DENCNO5301207031,Gofo Inc,GOFO INC.,16.0,5500.0,325.0,275.0,178.75,178.75,96.25,DM WORLD TRANSPORTATION LLC,36875,4900.0,2025 Invoice List,true,,275.0,triumph
36870,Funded,2025-12-11,2025-12-11,GOFO GROUND,Gofo Inc,GOFO INC.,16.0,7200.0,-160.0,360.0,234.0,234.0,126.0,BORDERLANDERS INC,36870,7000.0,2025 Invoice List,true,,360.0,triumph
36406,Funded,2025-12-11,2025-12-11,REF#468831 - PO#INV129849,Rentex,"RENTEX, INC/ HQ",16.0,800.0,160.0,40.0,26.0,26.0,14.0,MARQUEZ SERVICES INC,36406,600.0,2025 Invoice List,true,,40.0,triumph
36682,Funded,2025-12-11,2025-12-11,REF#470859/456370PO#INV130767,Rentex,"RENTEX, INC/ HQ",16.0,550.0,122.5,27.5,17.875,17.875,9.625,GOOD QUALITY SERVICES CORP,36682,400.0,2025 Invoice List,true,,27.5,triumph
36836,Funded,2025-12-11,2025-12-11,#EWRCNO5301205067,Gofo Inc,GOFO INC.,16.0,8800.0,285.0,440.0,286.0,286.0,154.0,GOLDPRO TRANSPORT INC,36836,8075.0,2025 Invoice List,true,,440.0,triumph
36823,Funded,2025-12-11,2025-12-11,#EWRCNO5301205066,Gofo Inc,GOFO INC.,16.0,8500.0,575.0,425.0,276.25,276.25,148.75,GG&E TRUCKING LLC,36823,7500.0,2025 Invoice List,true,,425.0,triumph
36644,Funded,2025-12-11,2025-12-11,PO#INV130682/REF#471072,Rentex,"RENTEX, INC/ HQ",16.0,600.0,170.0,30.0,19.5,19.5,10.5,LANDSEA TRANSPORTATION INC,36644,400.0,2025 Invoice List,true,,30.0,triumph
36850,Funded,2025-12-10,2025-12-10,P/U # EWRCNO5301205112,Gofo Inc,GOFO INC.,17.0,8500.0,375.0,425.0,276.25,276.25,148.75,DELTA PRIME LLC,36850,7700.0,2025 Invoice List,true,,425.0,triumph
36859,Funded,2025-12-10,2025-12-10,P/U # ATLCNO5301205003,Gofo Inc,GOFO INC.,17.0,7300.0,-65.0,365.0,237.25,237.25,127.75,CLEANPEACE EXPRESS LLC,36859,7000.0,2025 Invoice List,true,,365.0,triumph
36872,Funded,2025-12-10,2025-12-10,"""GOFO GROUND""",Gofo Inc,GOFO INC.,17.0,8800.0,360.0,440.0,286.0,286.0,154.0,STRAIGHT CARGO LLC,36872,8000.0,2025 Invoice List,true,,440.0,triumph
36270,Funded,2025-12-10,2025-12-10,REF#TRANSFER RENTEX LV-PHX 11/10 - PO#IN,Rentex,"RENTEX, INC/ HQ",17.0,1150.0,242.5,57.5,37.375,37.375,20.125,AXPER LLC,36270,850.0,2025 Invoice List,true,,57.5,triumph
