invoice_number,released,release_date,release_amount,source_pdf
2000153,true,2026-04-03,2397.00,CliRsvRept.pdf
2000161,true,2026-04-07,700.00,CliRsvRept.pdf
2000162,true,2026-04-07,1650.00,CliRsvRept.pdf
2000270,true,2026-04-15,1200.00,CliRsvRept.pdf
2000305,true,2026-04-07,800.00,CliRsvRept.pdf
2000375,true,2026-04-07,7400.00,CliRsvRept.pdf
2000397,true,2026-04-03,1400.00,CliRsvRept.pdf
2000419,true,2026-04-03,1400.00,CliRsvRept.pdf
2000441,true,2026-04-03,1400.00,CliRsvRept.pdf
2000442,true,2026-04-03,1400.00,CliRsvRept.pdf
2000453,true,2026-04-15,7300.00,CliRsvRept.pdf
2000459,true,2026-04-15,3700.00,CliRsvRept.pdf
2000497,true,2026-04-15,1400.00,CliRsvRept.pdf
2000499,true,2026-04-15,1100.00,CliRsvRept.pdf
2000502,true,2026-04-15,900.00,CliRsvRept.pdf
2000523,true,2026-04-07,1600.00,CliRsvRept.pdf
2000530,true,2026-04-15,1500.00,CliRsvRept.pdf
2000557,true,2026-04-21,700.00,CliRsvRept.pdf
2000558,true,2026-04-22,650.00,CliRsvRept.pdf
2000591,true,2026-04-17,750.00,CliRsvRept.pdf
2000602,true,2026-04-24,500.00,CliRsvRept.pdf
2000603,true,2026-04-28,600.00,CliRsvRept.pdf
2000604,true,2026-04-09,500.00,CliRsvRept.pdf
2000605,true,2026-04-13,500.00,CliRsvRept.pdf
2000609,true,2026-04-16,7200.00,CliRsvRept.pdf
2000747,true,2026-04-20,4800.00,CliRsvRept.pdf
2000773,true,2026-04-15,500.00,CliRsvRept.pdf
2000784,true,2026-04-15,3600.00,CliRsvRept.pdf
2000785,true,2026-04-21,3600.00,CliRsvRept.pdf
2000799,true,2026-04-16,350.00,CliRsvRept.pdf
2000841,true,2026-04-15,350.00,CliRsvRept.pdf
2000859,true,2026-04-22,625.00,CliRsvRept.pdf
2000860,true,2026-04-23,625.00,CliRsvRept.pdf
2000918,true,2026-04-17,350.00,CliRsvRept.pdf
2000924,true,2026-04-20,7200.00,CliRsvRept.pdf
2000960,true,2026-04-23,3600.00,CliRsvRept.pdf
2001172,true,2026-04-28,650.00,CliRsvRept.pdf
2001173,true,2026-04-28,650.00,CliRsvRept.pdf
37239,true,2026-03-13,6500.00,CliRsvRept.pdf
37472,true,2026-03-13,8000.00,CliRsvRept.pdf
37569,true,2026-03-13,3800.00,CliRsvRept.pdf
38497,true,2026-03-26,4100.00,CliRsvRept.pdf
38499,true,2026-03-26,4100.00,CliRsvRept.pdf
38667,true,2026-03-31,300.00,CliRsvRept.pdf
38722,true,2026-03-25,725.00,CliRsvRept.pdf
38756,true,2026-04-06,1125.00,CliRsvRept.pdf
38830,true,2026-03-20,3200.00,CliRsvRept.pdf
38863,true,2026-03-31,750.00,CliRsvRept.pdf
38869,true,2026-03-31,1650.00,CliRsvRept.pdf
38903,true,2026-03-25,650.00,CliRsvRept.pdf
38904,true,2026-03-25,650.00,CliRsvRept.pdf
38905,true,2026-03-25,650.00,CliRsvRept.pdf
38906,true,2026-03-25,650.00,CliRsvRept.pdf
38909,true,2026-03-25,650.00,CliRsvRept.pdf
38910,true,2026-03-25,650.00,CliRsvRept.pdf
38911,true,2026-03-25,725.00,CliRsvRept.pdf
38950,true,2026-03-25,4600.00,CliRsvRept.pdf
38965,true,2026-03-25,1800.00,CliRsvRept.pdf
38976,true,2026-04-06,1125.00,CliRsvRept.pdf
38987,true,2026-03-25,4400.00,CliRsvRept.pdf
38988,true,2026-03-25,4400.00,CliRsvRept.pdf
38989,true,2026-03-25,3700.00,CliRsvRept.pdf
39017,true,2026-03-25,3762.50,CliRsvRept.pdf
39049,true,2026-03-25,4200.00,CliRsvRept.pdf
39099,true,2026-03-20,3800.00,CliRsvRept.pdf
39104,true,2026-03-30,1500.00,CliRsvRept.pdf
39105,true,2026-03-31,1600.00,CliRsvRept.pdf
39114,true,2026-03-31,1600.00,CliRsvRept.pdf
39132,true,2026-03-31,650.00,CliRsvRept.pdf
39133,true,2026-03-31,300.00,CliRsvRept.pdf
39134,true,2026-03-31,300.00,CliRsvRept.pdf
39135,true,2026-03-31,650.00,CliRsvRept.pdf
39136,true,2026-03-31,650.00,CliRsvRept.pdf
39145,true,2026-04-15,2650.00,CliRsvRept.pdf
39153,true,2026-03-25,725.00,CliRsvRept.pdf
39166,true,2026-03-25,1400.00,CliRsvRept.pdf
39167,true,2026-03-26,1400.00,CliRsvRept.pdf
39168,true,2026-03-25,1400.00,CliRsvRept.pdf
39173,true,2026-03-25,1000.00,CliRsvRept.pdf
39175,true,2026-03-31,925.00,CliRsvRept.pdf
39181,true,2026-03-25,725.00,CliRsvRept.pdf
39201,true,2026-03-26,650.00,CliRsvRept.pdf
39205,true,2026-03-25,700.00,CliRsvRept.pdf
39206,true,2026-03-25,700.00,CliRsvRept.pdf
39207,true,2026-03-31,700.00,CliRsvRept.pdf
39209,true,2026-03-25,700.00,CliRsvRept.pdf
39214,true,2026-03-31,700.00,CliRsvRept.pdf
39215,true,2026-03-31,1400.00,CliRsvRept.pdf
39216,true,2026-03-31,1470.00,CliRsvRept.pdf
39233,true,2026-03-25,3725.00,CliRsvRept.pdf
39234,true,2026-03-25,3800.00,CliRsvRept.pdf
39246,true,2026-03-31,1100.00,CliRsvRept.pdf
39335,true,2026-03-31,750.00,CliRsvRept.pdf
39338,true,2026-03-31,750.00,CliRsvRept.pdf
39339,true,2026-03-31,750.00,CliRsvRept.pdf
39340,true,2026-04-06,1400.00,CliRsvRept.pdf
39344,true,2026-03-31,750.00,CliRsvRept.pdf
39348,true,2026-03-25,250.00,CliRsvRept.pdf
39385,true,2026-03-31,450.00,CliRsvRept.pdf
39387,true,2026-03-31,750.00,CliRsvRept.pdf
39388,true,2026-03-31,750.00,CliRsvRept.pdf
39408,true,2026-03-31,800.00,CliRsvRept.pdf
