transfer_date,invoice_number,amount,notes
2026-05-11,37861,75.00,Backfilled before tracking started — released by Flexent 2026-03-25
2026-05-11,37968,92.50,Backfilled before tracking started — released by Flexent 2026-03-25
2026-05-11,38134,37.50,Backfilled before tracking started — released by Flexent 2026-03-25
2026-05-11,38135,37.50,Backfilled before tracking started — released by Flexent 2026-03-25
2026-05-11,38147,87.50,Backfilled before tracking started — released by Flexent 2026-03-25
2026-05-11,38149,87.50,Backfilled before tracking started — released by Flexent 2026-03-25
2026-05-11,38358,37.50,Backfilled before tracking started — released by Flexent 2026-03-25
2026-05-11,38395,37.50,Backfilled before tracking started — released by Flexent 2026-03-25
2026-05-11,36858,387.50,Backfilled before tracking started — released by Flexent 2026-04-07
2026-05-11,36972,422.50,Backfilled before tracking started — released by Flexent 2026-04-07
2026-05-11,37002,356.25,Backfilled before tracking started — released by Flexent 2026-04-07
2026-05-11,38635,87.50,Backfilled before tracking started — released by Flexent 2026-04-07
2026-05-11,38636,87.50,Backfilled before tracking started — released by Flexent 2026-04-07
2026-05-11,38637,87.50,Backfilled before tracking started — released by Flexent 2026-04-07
2026-05-11,38638,106.88,Backfilled before tracking started — released by Flexent 2026-04-07
2026-05-11,38663,117.50,Backfilled before tracking started — released by Flexent 2026-04-07
2026-05-11,38875,32.50,Backfilled before tracking started — released by Flexent 2026-04-08
2026-05-11,38879,32.50,Backfilled before tracking started — released by Flexent 2026-04-08
2026-05-11,38496,205.00,Backfilled before tracking started — released by Flexent 2026-04-13
2026-05-11,38498,205.00,Backfilled before tracking started — released by Flexent 2026-04-13
2026-05-11,38666,117.50,Backfilled before tracking started — released by Flexent 2026-04-13
2026-05-11,38668,117.50,Backfilled before tracking started — released by Flexent 2026-04-13
2026-05-11,38675,117.50,Backfilled before tracking started — released by Flexent 2026-04-13
2026-05-11,37699,38.25,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,37903,167.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,37904,82.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38132,20.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38133,20.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38337,75.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38441,14.25,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38504,60.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38507,60.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38634,47.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38755,50.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38762,80.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38763,80.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38764,80.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38766,30.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38786,45.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38787,45.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38855,46.25,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38861,37.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38870,132.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38872,46.25,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38975,56.25,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39002,45.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39003,45.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39050,49.65,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39051,49.65,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39070,40.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39073,35.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39074,25.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39084,67.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39085,67.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39100,62.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39106,60.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39109,46.25,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39137,27.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39141,32.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39142,32.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39143,32.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39174,51.25,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39213,45.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39244,62.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39294,37.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39295,37.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39333,16.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39334,16.00,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,39359,47.50,Backfilled before tracking started — released by Flexent 2026-04-21
2026-05-11,38846,285.00,Backfilled before tracking started — released by Flexent 2026-04-24
2026-05-11,38847,210.00,Backfilled before tracking started — released by Flexent 2026-04-24
2026-05-11,2000499,55.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,38497,205.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,38499,205.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,38756,56.25,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,38863,37.50,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,38869,82.50,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,38976,56.25,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39104,75.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39105,80.00,Backfilled before tracking started — released by Flexent 2026-05-01
2026-05-11,39114,80.00,Backfilled before tracking started — released by Flexent 2026-05-01
